hotspot_id,latitude,longitude,mean_frp,max_frp,mean_bright_ti4,max_bright_ti4,mean_bright_ti5,max_bright_ti5,night_ratio,high_confidence_ratio,last_seen_date,days_since_last_seen,hits_7d,active_days_7d,hits_10d,active_days_10d,hits_15d,active_days_15d,hits_30d,active_days_30d,persistence_30d,distance_to_nearest_road_m,road_length_1km_m,building_count_1km,distance_to_nearest_building_m,building_count_500m,building_count_2500m,building_count_5000m,road_length_500m_m,road_length_2500m_m,road_length_5000m_m,industrial_area_count_500m,industrial_area_count_5000m,nearest_fire_station_id,nearest_fire_station_name,nearest_fire_station_latitude,nearest_fire_station_longitude,distance_to_nearest_fire_station_m,fire_station_data_available
883c84a90dfffff,21.919235,83.35024,2.19,2.54,312.095,323.09,284.955,287.2,1.0,0.0,2026-07-31,31,0,0,0,0,0,0,0,0,0.0,237.92501507787,20380.0125772318,1.0,881.216990197036,0.0,22.0,51.0,2562.63136974396,111916.437427852,332594.003111238,1.0,4.0,,,,,,False
883c84a943fffff,21.92909,83.3482,1.13,1.13,305.23,305.23,287.32,287.32,1.0,0.0,2026-07-26,36,0,0,0,0,0,0,0,0,0.0,92.5220158108822,24417.2869096593,14.0,411.957747180653,6.0,22.0,26.0,5955.8080514571,112320.199778249,290761.339839647,2.0,4.0,,,,,,False
883c84a947fffff,21.92501,83.339895,1.38,1.63,308.12,309.86,279.26,284.7,1.0,0.0,2026-08-12,19,0,0,0,0,0,0,1,1,0.0333333333333333,179.777682974283,21155.2274046457,5.0,405.581206823286,4.0,22.0,27.0,3382.997947817,102159.858299406,270919.141320017,2.0,4.0,,,,,,False
883c84aa0bfffff,22.0284,83.367,2.14,2.14,307.3,307.3,290.78,290.78,1.0,0.0,2026-08-09,22,0,0,0,0,0,0,1,1,0.0333333333333333,430.057557627729,2348.28050624194,0.0,1378.19000264354,0.0,14.0,54.0,500.599150770198,14802.6674389964,86998.5327113131,0.0,6.0,,,,,,False
883c84aa43fffff,22.03738875,83.35151875,2.03625,2.84,308.54875,321.44,282.47,291.29,1.0,0.0,2026-08-12,19,0,0,0,0,0,0,4,2,0.0666666666666667,1075.76675192255,0.0,0.0,2314.1293845348,0.0,9.0,54.0,0.0,6354.63899621546,89700.4733988535,0.0,8.0,,,,,,False
883c84aa5dfffff,22.03967,83.35366,1.25,1.25,301.84,301.84,278.65,278.65,1.0,0.0,2026-08-12,19,0,0,0,0,0,0,1,1,0.0333333333333333,812.334369448223,942.502669357314,0.0,2241.96737458536,0.0,13.0,54.0,0.0,10488.4958056805,83654.0781906188,0.0,7.0,,,,,,False
883c84aa6bfffff,22.01886,83.33949,1.92,1.92,306.07,306.07,290.77,290.77,1.0,0.0,2026-08-09,22,0,0,0,0,0,0,1,1,0.0333333333333333,637.990959855781,1933.28326402915,0.0,3942.27827489614,0.0,0.0,53.0,0.0,16150.9487008697,91998.1333790411,0.0,8.0,,,,,,False
883c85229bfffff,22.20119,84.84676,2.35,2.35,308.18,308.18,289.62,289.62,1.0,0.0,2026-07-31,31,0,0,0,0,0,0,0,0,0.0,3.96073806505075,0.0,45.0,385.743027479896,2.0,377.0,1085.0,4892.7801752868,117329.071732629,435708.25418866,2.0,7.0,,,,,,False
883c852749fffff,22.208668,84.860412,1.162,1.42,300.74,304.58,276.094,286.5,1.0,0.0,2026-08-10,21,0,0,0,0,0,0,2,2,0.0666666666666667,240.52561470511,0.0,254.0,43.0896147595273,116.0,588.0,1147.0,976.374203383518,131985.245660451,508411.782659588,1.0,6.0,,,,,,False
883c85275dfffff,22.2085,84.8784,0.57,0.57,296.56,296.56,277.72,277.72,1.0,0.0,2026-07-25,37,0,0,0,0,0,0,0,0,0.0,99.2791500593886,0.0,98.0,130.17080343551,22.0,503.0,1076.0,3219.34574745034,90808.7006843658,478600.060393951,1.0,5.0,,,,,,False
